"시점","성별","연령계층별",취업자 (천명),실업자 (천명),실업률 (%),고용률 (%)
"2018. 10","계","50 - 59세",6394,159,2.4,75.5
"2018. 10","계","60세이상",4579,108,2.3,41.9
"2018. 10","남자","계",15462,575,3.6,71.1
"2018. 10","남자","20 - 29세",1770,177,9.1,56.0
"2018. 10","남자","30 - 39세",3412,121,3.4,89.7
"2018. 10","남자","40 - 49세",3921,94,2.3,92.1
"2018. 10","남자","50 - 59세",3682,92,2.4,87.0
"2018. 10","남자","60세이상",2601,83,3.1,53.1
"2018. 10","여자","계",11628,398,3.3,51.6
"2018. 10","여자","20 - 29세",1957,170,8.0,60.4
"2018. 10","여자","30 - 39세",2154,66,3.0,60.8
"2018. 10","여자","40 - 49세",2724,66,2.4,65.8
"2018. 10","여자","50 - 59세",2712,67,2.4,64.0
"2018. 10","여자","60세이상",1978,25,1.2,32.8
"2018. 11","계","계",27184,909,3.2,61.4
"2018. 11","계","20 - 29세",3749,330,8.1,58.6
"2018. 11","계","30 - 39세",5558,169,2.9,75.8
"2018. 11","계","40 - 49세",6664,147,2.2,79.5
"2018. 11","계","50 - 59세",6432,143,2.2,75.8
"2018. 11","계","60세이상",4598,111,2.3,41.9
"2018. 11","남자","계",15510,546,3.4,71.3
"2018. 11","남자","20 - 29세",1785,171,8.7,56.4
"2018. 11","남자","30 - 39세",3413,108,3.1,89.8
"2018. 11","남자","40 - 49세",3925,90,2.2,92.4
"2018. 11","남자","50 - 59세",3683,86,2.3,86.9
"2018. 11","남자","60세이상",2619,87,3.2,53.2
"2018. 11","여자","계",11674,363,3.0,51.8
"2018. 11","여자","20 - 29세",1964,160,7.5,60.6
"2018. 11","여자","30 - 39세",2145,61,2.8,60.7
"2018. 11","여자","40 - 49세",2739,58,2.1,66.3
"2018. 11","여자","50 - 59세",2749,56,2.0,64.8
"2018. 11","여자","60세이상",1979,24,1.2,32.7
"2018. 12","계","계",26638,944,3.4,60.1
"2018. 12","계","20 - 29세",3700,347,8.6,57.7
"2018. 12","계","30 - 39세",5548,157,2.8,75.7
"2018. 12","계","40 - 49세",6611,152,2.3,79.0
"2018. 12","계","50 - 59세",6369,154,2.4,75.0
"2018. 12","계","60세이상",4226,115,2.6,38.3
"2018. 12","남자","계",15312,586,3.7,70.3
"2018. 12","남자","20 - 29세",1765,196,10.0,55.7
"2018. 12","남자","30 - 39세",3405,98,2.8,89.7
"2018. 12","남자","40 - 49세",3912,92,2.3,92.2
"2018. 12","남자","50 - 59세",3654,97,2.6,86.1
"2018. 12","남자","60세이상",2496,91,3.5,50.5
"2018. 12","여자","계",11326,358,3.1,50.2
"2018. 12","여자","20 - 29세",1936,151,7.2,59.8
"2018. 12","여자","30 - 39세",2144,59,2.7,60.7
"2018. 12","여자","40 - 49세",2699,60,2.2,65.4
"2018. 12","여자","50 - 59세",2715,57,2.1,63.9
"2018. 12","여자","60세이상",1731,23,1.3,28.5
"2019. 01","계","계",26232,1224,4.5,59.2
"2019. 01","계","20 - 29세",3689,351,8.7,57.7
"2019. 01","계","30 - 39세",5501,168,3.0,75.2
"2019. 01","계","40 - 49세",6539,172,2.6,78.3
"2019. 01","계","50 - 59세",6311,187,2.9,74.2
"2019. 01","계","60세이상",3990,319,7.4,36.0
"2019. 01","남자","계",15100,693,4.4,69.4
"2019. 01","남자","20 - 29세",1753,198,10.2,55.6
"2019. 01","남자","30 - 39세",3366,98,2.8,88.7
"2019. 01","남자","40 - 49세",3876,104,2.6,91.5
"2019. 01","남자","50 - 59세",3615,124,3.3,85.1
"2019. 01","남자","60세이상",2396,154,6.0,48.2
"2019. 01","여자","계",11132,530,4.5,49.4
"2019. 01","여자","20 - 29세",1936,153,7.3,59.8
"2019. 01","여자","30 - 39세",2135,70,3.2,60.5
"2019. 01","여자","40 - 49세",2663,68,2.5,64.7
"2019. 01","여자","50 - 59세",2696,63,2.3,63.4
"2019. 01","여자","60세이상",1594,165,9.4,26.1
"2019. 02","계","계",26346,1303,4.7,59.4
"2019. 02","계","20 - 29세",3687,378,9.3,57.4
"2019. 02","계","30 - 39세",5482,198,3.5,74.9
"2019. 02","계","40 - 49세",6531,189,2.8,78.3
"2019. 02","계","50 - 59세",6301,206,3.2,74.0
"2019. 02","계","60세이상",4126,301,6.8,37.1
"2019. 02","남자","계",15174,720,4.5,69.5
"2019. 02","남자","20 - 29세",1776,200,10.1,55.8
"2019. 02","남자","30 - 39세",3370,117,3.3,88.8
"2019. 02","남자","40 - 49세",3869,107,2.7,91.4
"2019. 02","남자","50 - 59세",3623,122,3.3,85.2
"2019. 02","남자","60세이상",2439,156,6.0,48.9
"2019. 02","여자","계",11172,584,5.0,49.5
"2019. 02","여자","20 - 29세",1911,179,8.6,58.9
"2019. 02","여자","30 - 39세",2112,81,3.7,60.0
"2019. 02","여자","40 - 49세",2662,82,3.0,64.8
"2019. 02","여자","50 - 59세",2678,84,3.0,62.9
"2019. 02","여자","60세이상",1688,145,7.9,27.6
"2019. 03","계","계",26805,1197,4.3,60.4
"2019. 03","계","20 - 29세",3696,450,10.9,57.5
"2019. 03","계","30 - 39세",5515,214,3.7,75.5
"2019. 03","계","40 - 49세",6496,164,2.5,78.0
"2019. 03","계","50 - 59세",6382,198,3.0,74.9
"2019. 03","계","60세이상",4512,148,3.2,40.4
"2019. 03","남자","계",15363,710,4.4,70.4
"2019. 03","남자","20 - 29세",1787,252,12.3,56.1
"2019. 03","남자","30 - 39세",3376,117,3.3,89.1
"2019. 03","남자","40 - 49세",3846,104,2.6,91.0
"2019. 03","남자","50 - 59세",3650,120,3.2,85.7
"2019. 03","남자","60세이상",2606,104,3.8,52.0
"2019. 03","여자","계",11442,487,4.1,50.7
"2019. 03","여자","20 - 29세",1908,198,9.4,58.8
"2019. 03","여자","30 - 39세",2139,97,4.3,60.8
"2019. 03","여자","40 - 49세",2651,60,2.2,64.6
"2019. 03","여자","50 - 59세",2732,79,2.8,64.1
"2019. 03","여자","60세이상",1906,44,2.3,31.0
"2019. 04","계","계",27038,1245,4.4,60.8
"2019. 04","계","20 - 29세",3682,486,11.7,57.2
"2019. 04","계","30 - 39세",5534,232,4.0,75.8
"2019. 04","계","40 - 49세",6502,169,2.5,78.2
"2019. 04","계","50 - 59세",6439,194,2.9,75.5
"2019. 04","계","60세이상",4666,144,3.0,41.6
"2019. 04","남자","계",15420,747,4.6,70.6
"2019. 04","남자","20 - 29세",1780,265,12.9,55.7
"2019. 04","남자","30 - 39세",3358,141,4.0,88.7
"2019. 04","남자","40 - 49세",3838,109,2.8,90.9
"2019. 04","남자","50 - 59세",3682,121,3.2,86.3
"2019. 04","남자","60세이상",2656,96,3.5,52.8
"2019. 04","여자","계",11619,498,4.1,51.4
"2019. 04","여자","20 - 29세",1902,222,10.4,58.6
"2019. 04","여자","30 - 39세",2176,91,4.0,61.9
"2019. 04","여자","40 - 49세",2664,59,2.2,65.0
"2019. 04","여자","50 - 59세",2758,72,2.6,64.6
"2019. 04","여자","60세이상",2010,48,2.3,32.6
"2019. 05","계","계",27322,1145,4.0,61.5
"2019. 05","계","20 - 29세",3736,420,10.1,58.1
"2019. 05","계","30 - 39세",5543,214,3.7,76.0
"2019. 05","계","40 - 49세",6519,163,2.4,78.5
"2019. 05","계","50 - 59세",6488,171,2.6,75.9
"2019. 05","계","60세이상",4819,160,3.2,42.8
"2019. 05","남자","계",15535,690,4.3,71.1
"2019. 05","남자","20 - 29세",1823,220,10.8,57.2
"2019. 05","남자","30 - 39세",3372,133,3.8,89.1
"2019. 05","남자","40 - 49세",3837,101,2.6,91.0
"2019. 05","남자","50 - 59세",3692,109,2.9,86.5
"2019. 05","남자","60세이상",2698,115,4.1,53.4
"2019. 05","여자","계",11788,455,3.7,52.2
"2019. 05","여자","20 - 29세",1914,200,9.5,59.0
"2019. 05","여자","30 - 39세",2171,81,3.6,61.9
"2019. 05","여자","40 - 49세",2683,62,2.2,65.6
"2019. 05","여자","50 - 59세",2796,63,2.2,65.4
"2019. 05","여자","60세이상",2121,45,2.1,34.3
"2019. 06","계","계",27408,1137,4.0,61.6
"2019. 06","계","20 - 29세",3729,436,10.5,57.9
"2019. 06","계","30 - 39세",5576,214,3.7,76.5
"2019. 06","계","40 - 49세",6513,158,2.4,78.5
"2019. 06","계","50 - 59세",6517,160,2.4,76.2
"2019. 06","계","60세이상",4883,152,3.0,43.2
"2019. 06","남자","계",15560,678,4.2,71.1
"2019. 06","남자","20 - 29세",1822,227,11.1,57.0
"2019. 06","남자","30 - 39세",3392,129,3.7,89.7
"2019. 06","남자","40 - 49세",3833,100,2.5,91.0
"2019. 06","남자","50 - 59세",3699,104,2.7,86.5
"2019. 06","남자","60세이상",2724,106,3.7,53.7
"2019. 06","여자","계",11848,460,3.7,52.4
"2019. 06","여자","20 - 29세",1907,209,9.9,58.7
"2019. 06","여자","30 - 39세",2184,85,3.7,62.3
"2019. 06","여자","40 - 49세",2680,58,2.1,65.7
"2019. 06","여자","50 - 59세",2818,56,2.0,65.9
"2019. 06","여자","60세이상",2158,47,2.1,34.7
"2019. 07","계","계",27383,1097,3.9,61.5
"2019. 07","계","20 - 29세",3787,406,9.7,58.7
"2019. 07","계","30 - 39세",5540,213,3.7,76.2
