"BLCK_CD(블록_코드)","ADSTRD_CD(행정동_코드)"
"10641","11650550"
"10642","11380690"
"10643","11380690"
"10645","11380690"
"106456","11230610"
"10646","11380690"
"10647","11380690"
"106474","11500620"
"10648","11380690"
"10650","11380690"
"10651","11380690"
"10652","11380690"
"10660","11380690"
"106633","11320680"
"10664","11380690"
"10665","11380690"
"106655","11230650"
"106663","11230610"
"10668","11380690"
"10669","11380690"
"10670","11380690"
"10671","11380690"
"10672","11380690"
"10673","11380690"
"10675","11380690"
"106760","11470560"
"10679","11380690"
"10680","11380690"
"10681","11380690"
"106812","11230650"
"10682","11380690"
"10683","11380690"
"106842","11470530"
"10685","11380690"
"10686","11380690"
"10689","11380690"
"106909","11320660"
"10695","11380530"
"10697","11380530"
"10699","11380530"
"1070","11320680"
"10700","11380530"
"107009","11470530"
"10702","11380530"
"107024","11470530"
"10704","11380530"
"10707","11380530"
"10708","11380530"
"10709","11380530"
"10712","11380530"
"107126","11320680"
"10713","11380530"
"10714","11380530"
"10715","11380530"
"10716","11380530"
"10717","11680740"
"107199","11500620"
"10721","11530730"
"10723","11530750"
"10724","11380530"
"10725","11380625"
"10726","11380530"
"10729","11380530"
"10730","11380530"
"10731","11380530"
"10733","11380530"
"10734","11680740"
"10738","11380530"
"10739","11380530"
"10741","11380530"
"10742","11380530"
"10743","11380530"
"107447","11500620"
"10747","11380530"
"107473","11320660"
"10748","11380530"
"10749","11380530"
"10750","11380530"
"10751","11380530"
"10752","11530750"
"10753","11380625"
"107534","11230610"
"10754","11380530"
"107548","11230610"
"10755","11380530"
"10756","11380530"
"10757","11500550"
"10758","11380530"
"10759","11380530"
"10760","11380530"
"10761","11380530"
"10762","11380530"
"10763","11470530"
"10764","11380530"
"107646","11320670"
"10765","11380530"
"10766","11380530"
"10767","11380530"
"10768","11380530"
"10769","11380530"
"10770","11380530"
"10771","11380530"
"10773","11380530"
"10774","11380530"
"10776","11230660"
"10777","11380530"
"10778","11380530"
"10779","11380530"
"10780","11380530"
"10781","11380530"
"10782","11380530"
"10783","11380530"
"10784","11380530"
"10785","11380530"
"10786","11380530"
"10787","11380530"
"10789","11470600"
"10790","11380530"
"10791","11380625"
"10792","11380530"
"10793","11380530"
"10794","11380530"
"10795","11380530"
"10796","11380530"
"10797","11380530"
"10798","11380530"
"10799","11380530"
"10800","11380530"
"10801","11380530"
"10802","11380530"
"10803","11380530"
"10804","11380530"
"10805","11380625"
"108057","11320680"
"10806","11380530"
"10807","11380530"
"10810","11380530"
"10811","11380530"
"10812","11380530"
"10813","11380625"
"10814","11380530"
"10815","11380530"
"10816","11380530"
"10818","11380530"
"10819","11380530"
"10820","11380530"
"10821","11380530"
"10822","11230660"
"10823","11380530"
"10824","11380530"
"10825","11380530"
"10826","11530750"
"10827","11380530"
"10829","11470540"
"10830","11380530"
"10831","11380530"
"10832","11380530"
"10833","11380530"
"10834","11380530"
"10835","11680740"
"10838","11380530"
"10842","11470580"
"10843","11380530"
"10844","11380530"
"10845","11380530"
"10846","11380530"
"10847","11380530"
"10848","11380530"
"10849","11380530"
"10852","11380530"
"10853","11380530"
"10854","11380530"
"10855","11380530"
"10856","11380530"
"108567","11470530"
"10857","11380530"
"10858","11380530"
"108586","11470530"
"10859","11380530"
"10860","11380530"
"10862","11380530"
"10863","11380530"
"10864","11380530"
