,일별,save_scaled_train
289,2018-10-17,[0.69358778]
290,2018-10-18,[0.69461063]
291,2018-10-19,[0.77621899]
292,2018-10-20,[0.73018018]
293,2018-10-21,[0.45357014]
294,2018-10-22,[0.63807869]
295,2018-10-23,[0.66370376]
296,2018-10-24,[0.68432541]
297,2018-10-25,[0.72408546]
298,2018-10-26,[0.79162886]
299,2018-10-27,[0.75257469]
300,2018-10-28,[0.40224354]
301,2018-10-29,[0.74751445]
302,2018-10-30,[0.79595938]
303,2018-10-31,[0.88558788]
304,2018-11-01,[0.72776216]
305,2018-11-02,[0.78266161]
306,2018-11-03,[0.75513006]
307,2018-11-04,[0.45489015]
308,2018-11-05,[0.62888233]
309,2018-11-06,[0.64379592]
310,2018-11-07,[0.6284057]
311,2018-11-08,[0.57677348]
312,2018-11-09,[0.76489907]
313,2018-11-10,[0.75697641]
314,2018-11-11,[0.40616327]
315,2018-11-12,[0.60939828]
316,2018-11-13,[0.65133851]
317,2018-11-14,[0.64770719]
318,2018-11-15,[0.65932338]
319,2018-11-16,[0.77336982]
320,2018-11-17,[0.71916139]
321,2018-11-18,[0.44382037]
322,2018-11-19,[0.63130582]
323,2018-11-20,[0.67686276]
324,2018-11-21,[0.6686255]
325,2018-11-22,[0.67756582]
326,2018-11-23,[0.80293316]
327,2018-11-24,[0.67736628]
328,2018-11-25,[0.42588144]
329,2018-11-26,[0.6804375]
330,2018-11-27,[0.71595998]
331,2018-11-28,[0.73274035]
332,2018-11-29,[0.76501696]
333,2018-11-30,[0.96301215]
334,2018-12-01,[0.7819865]
335,2018-12-02,[0.45676814]
336,2018-12-03,[0.64366943]
337,2018-12-04,[0.72293677]
338,2018-12-05,[0.74220157]
339,2018-12-06,[0.74123567]
340,2018-12-07,[0.80260997]
341,2018-12-08,[0.75767672]
342,2018-12-09,[0.40659026]
343,2018-12-10,[0.69104858]
344,2018-12-11,[0.72358464]
345,2018-12-12,[0.73135207]
346,2018-12-13,[0.74840163]
347,2018-12-14,[0.87883765]
348,2018-12-15,[0.79797067]
349,2018-12-16,[0.46469363]
350,2018-12-17,[0.73809507]
351,2018-12-18,[0.8064142]
352,2018-12-19,[0.80391857]
353,2018-12-20,[0.85008064]
354,2018-12-21,[0.92948277]
355,2018-12-22,[0.80260443]
356,2018-12-23,[0.43884274]
357,2018-12-24,[0.88617911]
358,2018-12-25,[0.50441652]
359,2018-12-26,[0.83927392]
360,2018-12-27,[0.87145393]
361,2018-12-28,[0.94220414]
362,2018-12-29,[0.73137965]
363,2018-12-30,[0.42437265]
364,2018-12-31,[0.93848423]
365,2019-01-01,[0.2761436]
366,2019-01-02,[0.72264581]
367,2019-01-03,[0.70850891]
368,2019-01-04,[0.75544042]
369,2019-01-05,[0.72597351]
370,2019-01-06,[0.40705219]
371,2019-01-07,[0.65019626]
372,2019-01-08,[0.66469194]
373,2019-01-09,[0.64813967]
374,2019-01-10,[0.65875944]
375,2019-01-11,[0.75564145]
376,2019-01-12,[0.7202855]
377,2019-01-13,[0.35622683]
378,2019-01-14,[0.61781988]
379,2019-01-15,[0.66576996]
380,2019-01-16,[0.66993453]
381,2019-01-17,[0.67823012]
382,2019-01-18,[0.76227176]
383,2019-01-19,[0.71121699]
384,2019-01-20,[0.40627457]
385,2019-01-21,[0.65243262]
386,2019-01-22,[0.71405099]
387,2019-01-23,[0.73277199]
388,2019-01-24,[0.74953083]
389,2019-01-25,[0.84656913]
390,2019-01-26,[0.76421837]
391,2019-01-27,[0.38890728]
392,2019-01-28,[0.79424564]
393,2019-01-29,[0.83352536]
394,2019-01-30,[0.84550632]
395,2019-01-31,[0.97024493]
396,2019-02-01,[0.93379893]
397,2019-02-02,[0.7837385]
398,2019-02-03,[0.40630269]
399,2019-02-04,[0.25362268]
400,2019-02-05,[0.00355663]
401,2019-02-06,[0.23029625]
402,2019-02-07,[0.62574852]
